ID,Type,Speaker,Text,NextID,Options
1000,options,玩家,那应该是老伦纳德管家，要上前交流一下吗？,null,1<好。>=1001<br>2<还是算了吧。>=1012
1001,dialogue,玩家,您好，我是______【请填入你的姓名】，是莫教授的学生。您就是伦纳德管家吗？,1002,null
1002,dialogue,管家,原来是你，你教授特地跟我打了招呼，让我好好照顾你。怎么了，有什么想知道的吗？,1003,null
1003,options,玩家,null,null,1<询问洛夫莱斯家族的历史。>=1004<br>2<询问教授口中的雕塑。>=1007<br>3<询问奇怪的藏品。>=1008<br>4<没什么想问的了。>=1010
1004,dialogue,管家,这个家族曾世代住在这个别墅里。他们不仅以显赫的地位闻名，更因对艺术的热爱而广为人知。,1005,null
1005,dialogue,管家,他们世代收藏了众多艺术珍品，从古典油画到雕塑，从珍贵手稿到古董器物，每一件都承载着历史与文化的厚重。,1006,null
1006,dialogue,管家,许多奇怪的都市传闻也在这将近一百年的时间里笼罩在这个神秘的家族身上。,1003,null
1007,dialogue,管家,你说的那件雕塑并不在参展的范围内。,1003,null
1008,dialogue,管家,洛夫莱斯家族的收藏，如同历史本身，总有些角落笼罩在不为人知的薄雾之中。,1009,null
1009,dialogue,管家,?有时，保留一丝遐想的空间，或许比赤裸裸的真相更具…艺术价值。您说呢？呵呵。恕我失陪，还有其他事务需要处理，还请您慢慢欣赏。,1003,null
1010,dialogue,管家,既然你这么感兴趣，又是莫教授的学生。等博物馆闭馆之后，来一楼大厅找我，我将知无不言，言无不尽。,1011,null
1011,end,null,对话结束,null,null
1012,dialogue,管家,请留步，您是_______【请填入你的姓名】吗？大名鼎鼎的莫教授的学生。,1013,null
1013,dialogue,玩家,您好，您就是伦纳德管家吗？,1014,null
1014,dialogue,管家,是的。莫教授让我好好照顾你。关于今天的展览，有什么想知道的吗？,1003,null
