ID,Type,Speaker,Text,NextID,Options
1001,dialogue,莫教授,看这个。之前整理旧档案翻出来的，九十年前的玩意儿了。,1002,null
1002,dialogue,莫教授,这个别墅下周重新开放部分区域，听说这件雕像会也展出。当年拍下这照片的家伙是个不太守规矩的同行。拍完没多久就…唉，意外离世了。他留下的东西不多，这张照片算是最神秘的，没人知道发生了什么让他这么慌张地拍下它。,1003,null
1003,dialogue,莫教授,我收到了他们的邀请函。但这把老骨头经不起折腾了，这种事还是交给你们年轻人比较好。那件雕塑…还有整个别墅的收藏，都充满了独特的“都市传说”色彩，你会感兴趣的。别忘了记录下你的发现。,1004,null
1004,dialogue,莫教授,对了。庄园现在的管家，老伦纳德，据说他祖父那辈就在那儿了。?庄园里里外外的事儿，他都知道。,1005,null
1005,dialogue,莫教授,如果你想了解点藏品的‘幕后故事’，或许可以试着找他聊聊。不过，这种老派人，脾气难捉摸得很。,1006,null
1006,end,null,结束对话,null,null
1007,options,玩家,那应该是老伦纳德管家，要上前交流一下吗？,null,1<好。>=1008<br>2<还是算了吧。>=1019
1008,dialogue,玩家,您好，我是______【请填入你的姓名】，是莫教授的学生。您就是伦纳德管家吗？,1009,null
1009,dialogue,管家,原来是你，你教授特地跟我打了招呼，让我好好照顾你。怎么了，有什么想知道的吗？,1010,null
1010,options,玩家,null,null,1<询问洛夫莱斯家族的历史。>=1011<br>2<询问教授口中的雕塑。>=1014<br>3<询问奇怪的藏品。>=1015<br>4<没什么想问的了。>=1017
1011,dialogue,管家,这个家族曾世代住在这个别墅里。他们不仅以显赫的地位闻名，更因对艺术的热爱而广为人知。,1012,null
1012,dialogue,管家,他们世代收藏了众多艺术珍品，从古典油画到雕塑，从珍贵手稿到古董器物，每一件都承载着历史与文化的厚重。,1013,null
1013,dialogue,管家,许多奇怪的都市传闻也在这将近一百年的时间里笼罩在这个神秘的家族身上。,1010,null
1014,dialogue,管家,你说的那件雕塑并不在参展的范围内。,1010,null
1015,dialogue,管家,洛夫莱斯家族的收藏，如同历史本身，总有些角落笼罩在不为人知的薄雾之中。,1016,null
1016,dialogue,管家,?有时，保留一丝遐想的空间，或许比赤裸裸的真相更具…艺术价值。您说呢？呵呵。恕我失陪，还有其他事务需要处理，还请您慢慢欣赏。,1010,null
1017,dialogue,管家,既然你这么感兴趣，又是莫教授的学生。等博物馆闭馆之后，来一楼大厅找我，我将知无不言，言无不尽。,1018,null
1018,end,null,对话结束,null,null
1019,dialogue,管家,请留步，您是_______【请填入你的姓名】吗？大名鼎鼎的莫教授的学生。,1020,null
1020,dialogue,玩家,您好，您就是伦纳德管家吗？,1021,null
1021,dialogue,管家,是的。莫教授让我好好照顾你。关于今天的展览，有什么想知道的吗？,1010,null
1022,dialogue,旁白,尊敬的游客朋友，,1023,null
1023,dialogue,旁白,本馆今日的开放时间即将结束，在最后的15分钟里，请您合理安排参观动线，携带好随身物品，留意身边老人与小孩，有序从出口离馆。离场时请注意台阶安全，并协助我们保持展厅整洁。,1024,null
1024,dialogue,旁白,感谢您今日的文明参观，别墅博物馆因您的热爱而传承不息。,1025,null
1025,dialogue,旁白,我们明天见！,1026,null
1026,end,null,对话结束,null,null
1027,dialogue,旁白,距离闭馆还有一段时间，去看看哪些展厅还没有参观过吧。,1028,null
1028,end,null,对话结束,null,null
